siteID,color
ABBY,#38A800
BART,#0073FF
BLAN,#58CDFF
BONA,#C10000
CLBJ,#A0FF73
DEJU,#C80000
DELA,#5CF8DF
DSNY,#80FF00
GRSM,#00C5EA
GUAN,#AAFF00
HARV,#00A4F4
HEAL,#970000
JERC,#54F5CA
KONZ,#A8D300
LAJA,#AAFF00
LENO,#40F5CA
MLBS,#0090E4
MOAB,#F5A3B6
NIWO,#0052A8
ONAQ,#DF8DFF
ORNL,#54DAEE
OSBS,#51FF73
PUUM,#45CDD3
RMNP,#C100BF
SCBI,#3EB2FF
SERC,#2ED3FF
SJER,#D8E600
SOAP,#A9B800
SRER,#ECF200
STEI,#004E73
TALL,#4CEADF
TEAK,#9F701A
TREE,#A900E6
UKFS,#64BE00
UNDE,#02519E
WREF,#569C00
YELL,#445B3E
