"plotID","siteID","plant_SR_400","plant_H_400","tree_SR_400","tree_H_400","CHM_nni_3_2512m2","pc_skew_DBH_2512m2","z_ent1_ent2_2512m2","z_1m_mode_mean_2512m2","pc_ent1_01_2512m2","z_cc_1_3_2512m2","MAT","AET","MTCM","alpha","TSeas","PSeas","latitude","longitude"
"ABBY_001","ABBY",42,1.64,6,1.5,-1.98785528039398,-0.698,1.66409779215269,26.729,0.951258679605153,0.990563525261335,106,706,-7,22.1081233622121,5671.34933683394,54.7971246334024,45.773173,-122.34808
"ABBY_003","ABBY",60,2.14,5,1.132,-1.59267107891496,0.673,2.08993866278531,3.135,0.908677051241989,0.706268613718965,89,692,8,19.3567559197581,5616.7796559101,53.8242388783055,45.762016,-122.371092
"ABBY_006","ABBY",30,0.817,5,1.322,-1.98163046553044,-0.847,1.57305970580348,25.192,0.933333224092773,0.979157288068742,94,697,5,20.2536812129664,5683.10425076525,46.9507302497292,45.7528,-122.297903
"ABBY_008","ABBY",36,1.595,5,1.181,-1.93544819008413,-1.027,1.62831470082516,31.363,0.891957345110106,0.749589739261752,103,705,-5,22.1081233622121,5659.63440875473,54.7971246334024,45.771358,-122.355223
"ABBY_010","ABBY",41,1.457,3,0.409,-1.99750785989509,-1.076,1.58288239107901,27.229,0.862016012728963,0.990563525261335,95,696,3,20.2536812129664,5619.66801927623,50.8911271725982,45.776549,-122.375934
"ABBY_014","ABBY",35,0.148,6,1.062,-1.99401632094121,-1.465,1.57698621771859,32.72,0.902816808471839,0.984873636402857,99,703,0,21.1713142401809,5678.69146643094,47.9386544025971,45.751186,-122.317373
"ABBY_016","ABBY",25,1.709,5,0.988,-1.95797422401609,-1.278,1.61741695349216,28.855,0.923067197389996,0.952160026760313,98,702,0,20.2536812129664,5669.14974477531,49.9089697728573,45.746995,-122.332415
"ABBY_017","ABBY",74,2.589,6,1.621,-1.71998297632417,0.647,2.03121913993691,4.124,0.924953296694098,0.814120220384442,93,697,4,19.3567559197581,5623.28195063381,52.8488722726143,45.772764,-122.369799
"ABBY_019","ABBY",52,1.718,4,1.125,-1.46417345533319,0.484,2.09085852012934,6.629,0.746977385955484,0.634544049177568,102,703,-4,21.1713142401809,5675.75273882794,50.8911271725982,45.752593,-122.325825
"ABBY_020","ABBY",53,1.918,NA,NA,-1.93449659116123,-0.94,1.63625183270234,25.864,0.849133540800134,0.541190763333417,96,700,3,20.2536812129664,5680.89715442885,49.9089697728573,45.767791,-122.303342
"ABBY_023","ABBY",56,2.573,8,1.631,-1.9542634767048,1.893,1.9381813113384,8.229,0.862016012728963,0.976289485525522,92,696,3,19.3567559197581,5617.50151503985,53.8242388783055,45.744589,-122.381659
"ABBY_025","ABBY",42,0.679,8,1.651,-2.00356656558331,-0.05,1.79994858823879,21.901,0.938815869450977,0.994341636607249,104,707,-5,22.1081233622121,5686.0492376447,49.9089697728573,45.76953,-122.324489
"ABBY_028","ABBY",62,1.846,NA,NA,-1.96990528876283,-0.107,2.01227868002853,6.119,0.927766549560711,0.970535234086523,92,696,5,19.3567559197581,5617.50151503985,53.8242388783055,45.745361,-122.375882
"ABBY_029","ABBY",45,1.585,NA,NA,-1.98519524280009,-0.576,1.64916844051554,23.886,0.94863508669357,0.973415425987212,102,703,-4,21.1713142401809,5690.47141741213,47.9386544025971,45.764081,-122.313751
"ABBY_030","ABBY",40,1.353,NA,NA,-1.93544819008413,0.142,1.88922235515707,16.824,0.958137194820415,0.958955723320137,101,703,-2,21.1713142401809,5685.31275602791,48.9247735427889,45.772435,-122.316395
"ABBY_061","ABBY",56,1.188,NA,NA,-1.42002728781701,0.874,2.06309355804099,2.297,0.876999883101981,0.56714141151509,103,705,-5,21.1713142401809,5675.75273882794,51.8711318976614,45.762451,-122.331158
"ABBY_070","ABBY",53,1.784,NA,NA,-1.41922902983574,0.85,2.11826753756824,2.386,0.86400952777108,0.567901070269175,103,705,-5,21.1713142401809,5675.75273882794,51.8711318976614,45.761334,-122.330793
"BART_001","BART",28,1.287,5,0.801,-2.00184223107286,-0.247,1.78797341978733,15.235,0.911586811995017,0.996226050568607,59,740,130,14.4534303904097,9347.45995749671,9.33037567907132,44.046877,-71.305115
"BART_002","BART",22,0.233,1,0,-2.00614292400516,-1.041,1.77998447325726,18.188,0.890964247442238,0.997167083295687,57,738,131,13.7175013748016,9324.89485212628,9.33037567907132,44.035076,-71.272844
"BART_003","BART",26,2.044,10,1.96,-2.00356656558331,-0.516,1.73900000000463,17.063,0.928699953131959,0.997167083295687,61,742,127,15.2123292941011,9369.09910981981,9.33037567907132,44.054939,-71.263123
"BART_004","BART",21,1.221,3,0.972,-2.00442670632081,-0.606,1.62038716906568,17.277,0.891957345110106,0.996226050568607,63,734,129,13.0040864897546,9379.47592664725,9.33037567907132,44.041571,-71.28692
"BART_005","BART",26,2.005,4,0.684,-2.00184223107286,-0.594,1.73800000047345,21.592,0.89592098250428,0.994341636607249,68,751,121,17.6293491289296,9429.37679283006,9.33037567907132,44.054614,-71.282188
"BART_006","BART",18,1.238,4,1.154,-2.00184223107286,-0.194,1.66011418512592,17.473,0.942422078484288,0.997167083295687,60,739,129,14.4534303904097,9370.69732134893,9.33037567907132,44.060511,-71.310912
"BART_007","BART",14,1.283,3,0.537,-2.00097804179177,-0.68,1.6690796033702,19.365,0.876999883101981,0.995284233702655,68,750,125,17.6293491289296,9425.43981752341,9.33037567907132,44.051112,-71.298377
"BART_010","BART",18,0.345,7,1.727,-1.99489119850286,0.385,1.58288239107901,15.277,0.882995147195188,0.997167083295687,61,749,125,16.8002089386682,9369.09910981981,9.33037567907132,44.050073,-71.26668
"BART_011","BART",20,1.754,6,0.96,-1.94302488110001,-0.00900000000000001,1.80991883988384,16.618,0.941524275485694,0.937505929409281,68,744,125,14.4534303904097,9425.43981752341,9.33037567907132,44.050004,-71.296272
"BART_012","BART",26,1.248,2,0.637,-2.00614292400516,-0.312,1.85365520920298,19.489,0.931486762130563,0.997167083295687,56,735,132,13.0040864897546,9326.51084929518,9.33037567907132,44.047478,-71.315451
"BART_013","BART",20,0.99,5,1.557,-1.98608321804047,-0.808,1.39917125468865,18.267,0.921172884956361,0.991509203527964,64,749,125,15.9945301945935,9393.00439569217,9.33037567907132,44.041737,-71.277598
"BART_015","BART",17,1.276,4,0.395,-2.00356656558331,-0.579,1.75099962893276,16.901,0.896909478597316,0.997167083295687,62,743,127,15.2123292941011,9371.49618462363,10.2928990427162,44.042644,-71.273028
"BART_016","BART",35,1.689,7,1.562,-2.00528549315751,-0.419,1.80991883988384,18.291,0.926830954647884,0.995284233702655,63,745,123.5,15.2123292941011,9379.47592664725,9.33037567907132,44.049256,-71.285512
"BART_018","BART",23,0.667,6,1.13,-2.00528549315751,-0.609,1.81987942290251,17.941,0.915443101362593,0.996226050568607,70,750,120,18.4817037415452,9448.21815025866,9.33037567907132,44.059971,-71.277901
"BART_019","BART",32,2.35,NA,NA,-1.99314011955866,0,1.79994858823879,13.31,0.933333224092773,0.995284233702655,73,751,118,19.3567559197581,9475.52878729763,9.33037567907132,44.069366,-71.286161
"BART_023","BART",20,1.281,5,0.629,-1.9966369707491,-0.226,1.81987942290251,13.686,0.945987861304518,0.993398263224452,57,737,131,13.7175013748016,9328.12619973854,9.33037567907132,44.049319,-71.263643
